1.1	8.12514	3.65151	5.03327	-2.4166	
1.11	8.17541	3.62616	5.00192	-2.52228	
1.12	8.22537	3.59974	4.97109	-2.6286	
1.13	8.27502	3.57225	4.94075	-2.73559	
1.14	8.32438	3.54367	4.91093	-2.84327	
1.15	8.37344	3.51401	4.88162	-2.95166	
1.16	8.42221	3.48324	4.85281	-3.06079	
1.17	8.4707	3.45138	4.82452	-3.17067	
1.18	8.51891	3.4184	4.79674	-3.28132	
1.19	8.56684	3.3843	4.76947	-3.39277	
1.2	8.6145	3.34908	4.7427	-3.50502	
1.21	8.66191	3.31271	4.71644	-3.61811	
1.22	8.70905	3.27521	4.69068	-3.73204	
1.23	8.75594	3.23654	4.66543	-3.84684	
1.24	8.80258	3.19672	4.64066	-3.96251	
1.25	8.84897	3.15573	4.61638	-4.07907	
1.26	8.89513	3.11355	4.59259	-4.19654	
1.27	8.94105	3.07018	4.56928	-4.31493	
1.28	8.98674	3.02562	4.54644	-4.43425	
1.29	9.03221	2.97985	4.52407	-4.55451	
1.3	9.07746	2.93285	4.50216	-4.67574	
1.31	9.12249	2.88463	4.4807	-4.79792	
1.32	9.16731	2.83518	4.45968	-4.92109	
1.33	9.21192	2.78447	4.4391	-5.04524	
1.34	9.25633	2.73251	4.41896	-5.1704	
1.35	9.30055	2.67928	4.39923	-5.29655	
1.36	9.34457	2.62477	4.37992	-5.42372	
1.37	9.38839	2.56897	4.36102	-5.55192	
1.38	9.43204	2.51187	4.34251	-5.68114	
1.39	9.4755	2.45347	4.3244	-5.81141	
1.4	9.51878	2.39374	4.30667	-5.94272	
1.41	9.56189	2.33269	4.28931	-6.07509	
1.42	9.60483	2.27029	4.27231	-6.20851	
1.43	9.6476	2.20654	4.25568	-6.34301	
1.44	9.6902	2.14143	4.23939	-6.47857	
1.45	9.73265	2.07495	4.22344	-6.61522	
1.46	9.77494	2.00708	4.20783	-6.75296	
1.47	9.81707	1.93781	4.19254	-6.89179	
1.48	9.85906	1.86714	4.17757	-7.03172	
1.49	9.9009	1.79506	4.16291	-7.17276	
1.5	9.94259	1.72154	4.14855	-7.31491	
1.51	9.98414	1.64658	4.13448	-7.45817	
1.52	10.0256	1.57018	4.12071	-7.60256	
1.53	10.0668	1.49231	4.10721	-7.74808	
1.54	10.108	1.41296	4.09399	-7.89474	
1.55	10.149	1.33214	4.08103	-8.04254	
1.56	10.1899	1.24981	4.06834	-8.19149	
1.57	10.2306	1.16597	4.0559	-8.34159	
1.58	10.2713	1.08062	4.0437	-8.49286	
1.59	10.3118	0.993734	4.03175	-8.64529	
1.6	10.3522	0.905303	4.02003	-8.79889	
1.61	10.3925	0.815317	4.00854	-8.95367	
